"full_name","state","total_order","sales","rank_state"
"Zackary Green","North Carolina","4","588.9200000000001","4"
"William Green","North Carolina","3","299.91","5"
"Daniel Young","North Dakota","9","7684.82","1"
"Abigail Wilson","North Dakota","6","4449.85","2"
"Xena Smith","North Dakota","9","1520.7700000000002","3"
"Ulysses Davis","North Dakota","3","279.97","4"
"Felix Carter","North Dakota","2","52.980000000000004","5"
"Ella Scott","Ohio","344","229173.5700000005","1"
"Wendy Reed","Ohio","387","226028.76000000065","2"
"Mia Reed","Ohio","281","194483.54000000033","3"
"Quinn Davis","Ohio","264","191295.91000000015","4"
"Alicia Green","Ohio","289","182915.23000000033","5"
"Zackary Davis","Oklahoma","105","74862.01000000008","1"
"William Smith","Oklahoma","108","74075.02000000003","2"
"Felix Smith","Oklahoma","99","65339.13000000006","3"
"Chloe Reed","Oklahoma","104","52762.16000000009","4"
"Henry Turner","Oklahoma","93","49965.120000000075","5"
"Gina Hill","Oregon","91","60980.340000000026","1"
"Abigail Johnson","Oregon","88","52927.30000000005","2"
"Isla Turner","Oregon","78","51704.51000000007","3"
"Xena Brown","Oregon","91","50958.230000000076","4"
"Daniel Smith","Oregon","92","50917.44000000003","5"
"Yara Davis","Pennsylvania","91","74691.54999999999","1"
"Jake Cole","Pennsylvania","105","56540.22000000006","2"
"Benjamin Brown","Pennsylvania","87","50430.47000000006","3"
"Ella Davis","Pennsylvania","95","49475.1500000001","4"
"Henry Johnson","Pennsylvania","76","43475.70000000009","5"
"Kayla Morris","Rhode Island","102","71545.04000000008","1"
"Chloe Adams","Rhode Island","101","64809.11000000006","2"
"Felix Johnson","Rhode Island","89","50694.49000000005","3"
"Isla Clark","Rhode Island","102","49940.880000000085","4"
"Zackary Johnson","Rhode Island","96","49781.15000000005","5"
"Abigail Reed","South Carolina","106","62574.78000000008","1"
"Gina Brown","South Carolina","97","59955.130000000085","2"
"Jake Miller","South Carolina","93","56313.08000000006","3"
"Daniel Green","South Carolina","112","50924.94000000009","4"
"Leo Ramirez","South Carolina","101","39556.08000000007","5"
"Kayla Stewart","South Dakota","90","71801.44000000009","1"
"Henry Harris","South Dakota","112","64610.86000000004","2"
"Ella Reed","South Dakota","117","62693.500000000124","3"
"Benjamin Davis","South Dakota","89","54873.40000000005","4"
"Mia Collins","South Dakota","80","40032.24000000005","5"
"Felix Scott","Tennessee","109","74629.99000000003","1"
"Chloe Smith","Tennessee","110","70637.89000000001","2"
"Leo Adams","Tennessee","114","70164.88000000003","3"
"Isla Reed","Tennessee","92","47241.3700000001","4"
"Noah Murphy","Tennessee","87","46771.360000000066","5"
"Jack Davis","Texas","185","110220.48999999998","1"
"Rachel Johnson","Texas","192","109557.35000000012","2"
"Tara Reed","Texas","179","105581.62000000001","3"
"Fred Davis","Texas","96","82179.17000000007","4"
"Nathan Lee","Texas","104","77136.98000000007","5"
